engine_capacity,insurance,transmission_type,kms_driven,owner_type,fuel_type,seats,body_type,city,mileage_numeric,car_age,price_in_lakhs,brand,model
1498.0,Third Party insurance,Manual,90000.0,Second Owner,Diesel,5,Hatchback,Agra,27.3,10,3.9,Honda,Jazz
1086.0,Third Party insurance,Manual,20000.0,Second Owner,Petrol,5,Hatchback,Agra,19.81,8,2.5,Hyundai,i10
796.0,Third Party insurance,Manual,80000.0,First Owner,Petrol,5,Hatchback,Agra,22.74,12,2.0,Maruti,Alto
1197.0,Third Party insurance,Manual,10000.0,First Owner,Petrol,5,Sedan,Agra,22.41,3,7.25,Maruti,Swift
1498.0,Third Party insurance,Manual,110000.0,First Owner,Diesel,5,Hatchback,Agra,27.3,8,4.5,Honda,Jazz
1498.0,Third Party insurance,Manual,120000.0,First Owner,Diesel,5,Sedan,Agra,25.6,8,7.5,Honda,City
1364.0,Third Party insurance,Manual,70000.0,Third Owner,Diesel,5,Hatchback,Agra,23.59,14,2.15,Toyota,Etios
796.0,Third Party insurance,Manual,80000.0,First Owner,Petrol,5,Hatchback,Agra,22.74,12,2.06,Maruti,Alto
2179.0,Third Party insurance,Manual,120000.0,First Owner,Diesel,7,SUV,Agra,16.0,10,5.5,Mahindra,XUV500
998.0,Third Party insurance,Manual,150000.0,First Owner,CNG,5,Hatchback,Agra,26.2,13,2.5,Maruti,Wagon
796.0,Third Party insurance,Manual,80000.0,First Owner,Petrol,5,Hatchback,Agra,22.74,12,2.1,Maruti,Alto
1496.0,Third Party insurance,Manual,70000.0,Second Owner,Petrol,5,Sedan,Agra,17.6,14,2.5,Toyota,Etios
799.0,Third Party insurance,Manual,60000.0,Second Owner,Petrol,5,Hatchback,Agra,25.17,9,1.85,Renault,KWID
1197.0,Third Party insurance,Manual,70000.0,Third Owner,Petrol,5,Hatchback,Agra,18.9,11,3.0,Hyundai,Grand
1120.0,Third Party insurance,Manual,100000.0,Second Owner,Diesel,5,Hatchback,Agra,24.0,12,2.5,Hyundai,Grand
1586.0,Third Party insurance,Manual,120000.0,Second Owner,Petrol,5,Sedan,Agra,15.5,13,1.9,Maruti,SX4
1197.0,Third Party insurance,Manual,40000.0,First Owner,Petrol,5,Sedan,Agra,21.21,6,6.5,Maruti,Swift
2179.0,Third Party insurance,Manual,80000.0,First Owner,Diesel,8,SUV,Agra,15.4,12,5.0,Mahindra,Scorpio
1498.0,Third Party insurance,Manual,120000.0,First Owner,Diesel,5,Sedan,Agra,25.8,12,1.9,Honda,Amaze
1197.0,Third Party insurance,Manual,80000.0,Second Owner,Petrol,5,Hatchback,Agra,21.4,6,5.7,Maruti,Baleno
1248.0,Third Party insurance,Manual,80000.0,Second Owner,Diesel,5,Sedan,Agra,23.4,11,3.5,Maruti,Swift
1498.0,Third Party insurance,Manual,120000.0,Fourth Owner,Diesel,5,Sedan,Agra,26.0,11,3.8,Honda,City
1248.0,Third Party insurance,Manual,100000.0,First Owner,Diesel,5,SUV,Agra,24.3,6,7.8,Maruti,Vitara
799.0,Third Party insurance,Manual,20000.0,First Owner,Petrol,5,Hatchback,Agra,25.17,7,2.4,Renault,KWID
1199.0,Third Party insurance,Manual,10000.0,First Owner,Petrol,5,SUV,Agra,17.33,4,8.4,Tata,Nexon
1498.0,Third Party insurance,Manual,100000.0,Second Owner,Diesel,5,SUV,Agra,22.7,12,2.5,Ford,Ecosport
1248.0,Third Party insurance,Manual,100000.0,Second Owner,Diesel,5,Hatchback,Agra,25.2,11,4.0,Maruti,Swift
1061.0,Third Party insurance,Manual,80000.0,First Owner,Petrol,5,Hatchback,Agra,18.9,16,1.5,Maruti,Wagon
1248.0,Third Party insurance,Manual,70000.0,Second Owner,Diesel,5,Hatchback,Agra,18.0,16,1.0,Tata,Indica
2179.0,Third Party insurance,Manual,50000.0,First Owner,Diesel,7,SUV,Agra,15.1,5,12.75,Mahindra,XUV500
1198.0,Third Party insurance,Manual,30000.0,Second Owner,Petrol,7,MUV,Agra,19.44,10,2.7,Datsun,GO
2179.0,Third Party insurance,Manual,50000.0,First Owner,Diesel,7,SUV,Agra,15.1,5,12.75,Mahindra,XUV500
